title,price,year,mileage,fuel,engine,transmission
Suzuki Swift  2020 DLX Automatic 1.3 Navigation for Sale,3150000.0,2020,54929.0,Petrol,1300.0,Automatic
Toyota Mark II  2002 Grande 2.0 for Sale,2900000.0,2002,111000.0,Petrol,2000.0,Automatic
Honda BR-V  2021 i-VTEC S for Sale,5100000.0,2021,57000.0,Petrol,1500.0,Automatic
Toyota Vitz  2017 F Safety 1.0 for Sale,3550000.0,2017,92249.0,Petrol,1000.0,Automatic
Toyota Vitz  2013 F 1.0 for Sale,2590000.0,2013,104498.0,Petrol,1000.0,Automatic
Honda BR-V  2020  for Sale,4100000.0,2020,185151.0,Petrol,1500.0,Manual
Toyota Passo  2018 Moda S for Sale,3510000.0,2018,82763.0,Petrol,1000.0,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,14800000.0,2021,48000.0,Diesel,2800.0,Automatic
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,4980000.0,2018,116612.0,Petrol,1800.0,Automatic
Suzuki Alto  2007 VXR (CNG) for Sale,830000.0000000001,2007,206913.0,CNG,1000.0,Manual
Honda City  2019 Aspire 1.5 i-VTEC for Sale,2750000.0,2019,90000.0,Petrol,1500.0,Manual
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,1565000.0,2005,161000.0,Petrol,1500.0,Manual
Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,9300000.0,2018,156343.0,Diesel,2800.0,Automatic
KIA Picanto  2023 1.0 AT for Sale,3225000.0,2023,25000.0,Petrol,1000.0,Automatic
KIA Sportage  2021 FWD for Sale,7050000.0,2021,16500.0,Petrol,2000.0,Automatic
Toyota Passo  2012 X Kutsurogi for Sale,2290000.0,2012,87000.0,Petrol,1000.0,Automatic
Toyota Allion  2007 A15 for Sale,2650000.0,2007,120500.0,Petrol,1500.0,Automatic
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,4490000.0,2016,80000.0,Petrol,1500.0,Automatic
Nissan Dayz  2021 S for Sale,3500000.0,2021,36036.0,Petrol,660.0,Automatic
Toyota Corolla  2012 GLi Automatic 1.6 VVTi for Sale,3050000.0,2012,94710.0,Petrol,1600.0,Automatic
Suzuki Mehran  2005 VXR for Sale,550000.0,2005,56000.0,Petrol,800.0,Manual
Suzuki Cultus  2004 VXR for Sale,710000.0,2004,100000.0,Petrol,1000.0,Manual
KIA Picanto  2021 1.0 AT for Sale,2700000.0,2021,68500.0,Petrol,1000.0,Automatic
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,4375000.0,2016,67300.0,Petrol,1500.0,Automatic
Suzuki Swift  2013 DX 1.3 for Sale,1650000.0,2013,120000.0,Petrol,1300.0,Manual
Honda Vezel  2016 Hybrid Z Honda Sensing  for Sale,5075000.0,2016,95000.0,Hybrid,1500.0,Automatic
Suzuki Alto  2019 VXL AGS for Sale,2450000.0,2019,63182.0,Petrol,660.0,Automatic
Suzuki Alto  2010 G for Sale,1900000.0,2010,124000.0,Petrol,660.0,Automatic
Toyota Corolla  2018 Altis Automatic 1.6 for Sale,4475000.0,2018,49000.0,Petrol,1600.0,Automatic
Toyota Premio  2004 F 1.5 for Sale,2500000.0,2004,188000.0,Petrol,1500.0,Automatic
Haval H6  2025 1.5T for Sale,9700000.0,2025,4821.0,Petrol,1500.0,Automatic
Suzuki Cultus  2011 VXRi for Sale,1090000.0,2011,2286.0,Petrol,1000.0,Manual
Suzuki Wagon R  2020 VXL for Sale,2680000.0,2020,44713.0,Petrol,1000.0,Manual
Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,9650000.0,2018,65000.0,Diesel,2800.0,Automatic
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,4300000.0,2017,47000.0,Petrol,1300.0,Automatic
FAW V2  2017 VCT-i for Sale,1275000.0,2017,52573.0,Petrol,1300.0,Manual
Suzuki Liana  2007 LXi Sport for Sale,1145000.0,2007,95600.0,Petrol,1300.0,Manual
Honda Civic  2019 1.8 i-VTEC CVT for Sale,5200000.0,2019,42561.0,Petrol,1800.0,Automatic
Toyota Raize  2020 XS for Sale,5100000.0,2020,67500.0,Petrol,1000.0,Automatic
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,2800000.0,2011,179360.0,Petrol,1300.0,Manual
Toyota Vitz  2013 F 1.0 for Sale,2430000.0,2013,169102.0,Petrol,1000.0,Automatic
Suzuki Cultus  2016 Limited Edition for Sale,1500000.0,2016,90833.0,Petrol,1000.0,Manual
Suzuki Cultus  2013 EURO II for Sale,1445000.0,2013,145000.0,Petrol,1000.0,Manual
KIA Stonic  2022 EX+ for Sale,4690000.0,2022,25000.0,Petrol,1400.0,Automatic
Daihatsu Charade  1986 CX Turbo for Sale,450000.0,1986,150000.0,Petrol,1000.0,Manual
Toyota Vitz  2017 F Safety 1.0 for Sale,3550000.0,2017,92249.0,Petrol,1000.0,Automatic
Toyota Vitz  2013 F 1.0 for Sale,2590000.0,2013,104498.0,Petrol,1000.0,Automatic
Toyota Passo  2017 X G Package for Sale,3150000.0,2017,79000.0,Petrol,1000.0,Automatic
Honda BR-V  2020  for Sale,4100000.0,2020,185151.0,Petrol,1500.0,Manual
Toyota Passo  2018 Moda S for Sale,3510000.0,2018,82763.0,Petrol,1000.0,Automatic
Honda Civic  1999 VTi Oriel 1.6 for Sale,1225000.0,1999,150000.0,Petrol,1600.0,Manual
